name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date 
K2-136 d,193,2.7 Earths,11.101,2017
K2-137 b,323,0.5 Jupiters,15.94,2017
K2-138 b,661,3.1 Earths,12.246,2017
K2-138 c,661,6.31 Earths,12.246,2017
K2-138 d,661,7.92 Earths,12.246,2017
K2-138 e,661,12.97 Earths,12.246,2017
K2-138 f,661,1.63 Earths,12.246,2017
K2-138 g,661,4.32 Earths,12.246,2021
K2-139 b,502,0.387 Jupiters,11.652,2017
K2-13 b,1117,4.23 Earths,12.882,2015
K2-140 b,1135,0.93 Jupiters,12.727,2017
K2-141 b,202,5.08 Earths,11.454,2018
K2-141 c,202,7.4 Earths,11.454,2018
K2-146 b,259,5.77 Earths,16.7,2018
K2-146 c,259,7.49 Earths,16.7,2019
K2-147 b,295,0.315 Earths,14.044,2018
K2-148 b,406,2.33 Earths,13.627,2018
K2-148 c,406,3.64 Earths,13.627,2018
K2-148 d,406,3.33 Earths,13.627,2018
K2-149 b,403,3.33 Earths,14.543,2018
K2-14 b,1188,20.7 Earths,15.78,2015
K2-150 b,334,4.66 Earths,15.784,2018
K2-151 b,227,2.83 Earths,14.175,2018
K2-152 b,354,5.86 Earths,13.728,2018
K2-153 b,467,4.66 Earths,14.96,2018
K2-154 b,422,4.62 Earths,13.861,2018
K2-154 c,422,4.94 Earths,13.861,2018
K2-155 b,237,3.89 Earths,12.773,2018
K2-155 c,237,7.27 Earths,12.773,2018
K2-155 d,237,4.27 Earths,12.773,2018
K2-156 b,490,1.37 Earths,13.4,2018
K2-157 b,973,0.972 Earths,12.942,2018
K2-158 b,644,7.46 Earths,11.774,2018
K2-139 b,502,0.387 Jupiters,11.652,2017
K2-13 b,1117,4.23 Earths,12.882,2015
K2-140 b,1135,0.93 Jupiters,12.727,2017
K2-141 b,202,5.08 Earths,11.454,2018
K2-141 c,202,7.4 Earths,11.454,2018
K2-146 b,259,5.77 Earths,16.7,2018
K2-146 c,259,7.49 Earths,16.7,2019
K2-147 b,295,0.315 Earths,14.044,2018
K2-148 b,406,2.33 Earths,13.627,2018
K2-148 c,406,3.64 Earths,13.627,2018
K2-148 d,406,3.33 Earths,13.627,2018
K2-149 b,403,3.33 Earths,14.543,2018
K2-14 b,1188,20.7 Earths,15.78,2015
K2-150 b,334,4.66 Earths,15.784,2018
K2-151 b,227,2.83 Earths,14.175,2018
K2-152 b,354,5.86 Earths,13.728,2018
K2-153 b,467,4.66 Earths,14.96,2018
K2-154 b,422,4.62 Earths,13.861,2018
K2-154 c,422,4.94 Earths,13.861,2018
K2-155 b,237,3.89 Earths,12.773,2018
K2-155 c,237,7.27 Earths,12.773,2018
K2-155 d,237,4.27 Earths,12.773,2018
K2-156 b,490,1.37 Earths,13.4,2018
K2-157 b,973,0.972 Earths,12.942,2018
K2-158 b,644,7.46 Earths,11.774,2018
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-191 b,937,3.12 Earths,13.329,2018
K2-192 b,723,2.92 Earths,12.656,2018
K2-193 b,1344,14.8 Earths,13.341,2018
K2-194 b,2053,12.9 Earths,12.998,2018
K2-195 b,1028,9.96 Earths,12.524,2018
K2-195 c,1028,7.16 Earths,12.524,2018
K2-196 b,1908,12.6 Earths,12.241,2018
K2-197 b,808,7.08 Earths,12.199,2018
K2-198 b,361,16.3 Earths,10.971,2018
K2-198 c,361,2.61 Earths,10.971,2019
K2-198 d,361,6.52 Earths,10.971,2019
K2-199 b,351,6.9 Earths,12.358,2018
K2-199 c,351,12.4 Earths,12.358,2018
K2-19 b,945,32.4 Earths,13.024,2015
K2-19 c,945,10.8 Earths,13.024,2015
K2-19 d,945,10 Earths,13.024,2016
K2-200 b,601,2.43 Earths,12.428,2018
K2-201 b,646,2.54 Earths,12.168,2018
K2-201 c,646,10.8 Earths,12.168,2018
K2-202 b,980,5.91 Earths,13.354,2018
K2-203 b,542,2.45 Earths,12.391,2018
K2-204 b,1883,9.51 Earths,12.985,2018
K2-205 b,1322,4.64 Earths,12.45,2018
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-191 b,937,3.12 Earths,13.329,2018
K2-192 b,723,2.92 Earths,12.656,2018
K2-193 b,1344,14.8 Earths,13.341,2018
K2-194 b,2053,12.9 Earths,12.998,2018
K2-195 b,1028,9.96 Earths,12.524,2018
K2-195 c,1028,7.16 Earths,12.524,2018
K2-196 b,1908,12.6 Earths,12.241,2018
K2-197 b,808,7.08 Earths,12.199,2018
K2-198 b,361,16.3 Earths,10.971,2018
K2-198 c,361,2.61 Earths,10.971,2019
K2-198 d,361,6.52 Earths,10.971,2019
K2-199 b,351,6.9 Earths,12.358,2018
K2-199 c,351,12.4 Earths,12.358,2018
K2-19 b,945,32.4 Earths,13.024,2015
K2-19 c,945,10.8 Earths,13.024,2015
K2-19 d,945,10 Earths,13.024,2016
K2-200 b,601,2.43 Earths,12.428,2018
K2-201 b,646,2.54 Earths,12.168,2018
K2-201 c,646,10.8 Earths,12.168,2018
K2-202 b,980,5.91 Earths,13.354,2018
K2-203 b,542,2.45 Earths,12.391,2018
K2-204 b,1883,9.51 Earths,12.985,2018
K2-205 b,1322,4.64 Earths,12.45,2018
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-191 b,937,3.12 Earths,13.329,2018
K2-192 b,723,2.92 Earths,12.656,2018
K2-193 b,1344,14.8 Earths,13.341,2018
K2-194 b,2053,12.9 Earths,12.998,2018
K2-195 b,1028,9.96 Earths,12.524,2018
K2-195 c,1028,7.16 Earths,12.524,2018
K2-196 b,1908,12.6 Earths,12.241,2018
K2-197 b,808,7.08 Earths,12.199,2018
K2-198 b,361,16.3 Earths,10.971,2018
K2-198 c,361,2.61 Earths,10.971,2019
K2-198 d,361,6.52 Earths,10.971,2019
K2-199 b,351,6.9 Earths,12.358,2018
K2-199 c,351,12.4 Earths,12.358,2018
K2-19 b,945,32.4 Earths,13.024,2015
K2-19 c,945,10.8 Earths,13.024,2015
K2-19 d,945,10 Earths,13.024,2016
K2-200 b,601,2.43 Earths,12.428,2018
K2-201 b,646,2.54 Earths,12.168,2018
K2-201 c,646,10.8 Earths,12.168,2018
K2-202 b,980,5.91 Earths,13.354,2018
K2-203 b,542,2.45 Earths,12.391,2018
K2-204 b,1883,9.51 Earths,12.985,2018
K2-205 b,1322,4.64 Earths,12.45,2018
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-191 b,937,3.12 Earths,13.329,2018
K2-192 b,723,2.92 Earths,12.656,2018
K2-193 b,1344,14.8 Earths,13.341,2018
K2-194 b,2053,12.9 Earths,12.998,2018
K2-195 b,1028,9.96 Earths,12.524,2018
K2-195 c,1028,7.16 Earths,12.524,2018
K2-196 b,1908,12.6 Earths,12.241,2018
K2-197 b,808,7.08 Earths,12.199,2018
K2-198 b,361,16.3 Earths,10.971,2018
K2-198 c,361,2.61 Earths,10.971,2019
K2-198 d,361,6.52 Earths,10.971,2019
K2-199 b,351,6.9 Earths,12.358,2018
K2-199 c,351,12.4 Earths,12.358,2018
K2-19 b,945,32.4 Earths,13.024,2015
K2-19 c,945,10.8 Earths,13.024,2015
K2-19 d,945,10 Earths,13.024,2016
K2-200 b,601,2.43 Earths,12.428,2018
K2-201 b,646,2.54 Earths,12.168,2018
K2-201 c,646,10.8 Earths,12.168,2018
K2-202 b,980,5.91 Earths,13.354,2018
K2-203 b,542,2.45 Earths,12.391,2018
K2-204 b,1883,9.51 Earths,12.985,2018
K2-205 b,1322,4.64 Earths,12.45,2018
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-191 b,937,3.12 Earths,13.329,2018
K2-192 b,723,2.92 Earths,12.656,2018
K2-193 b,1344,14.8 Earths,13.341,2018
K2-194 b,2053,12.9 Earths,12.998,2018
K2-195 b,1028,9.96 Earths,12.524,2018
K2-195 c,1028,7.16 Earths,12.524,2018
K2-196 b,1908,12.6 Earths,12.241,2018
K2-197 b,808,7.08 Earths,12.199,2018
K2-198 b,361,16.3 Earths,10.971,2018
K2-198 c,361,2.61 Earths,10.971,2019
K2-198 d,361,6.52 Earths,10.971,2019
K2-199 b,351,6.9 Earths,12.358,2018
K2-199 c,351,12.4 Earths,12.358,2018
K2-19 b,945,32.4 Earths,13.024,2015
K2-19 c,945,10.8 Earths,13.024,2015
K2-19 d,945,10 Earths,13.024,2016
K2-200 b,601,2.43 Earths,12.428,2018
K2-201 b,646,2.54 Earths,12.168,2018
K2-201 c,646,10.8 Earths,12.168,2018
K2-202 b,980,5.91 Earths,13.354,2018
K2-203 b,542,2.45 Earths,12.391,2018
K2-204 b,1883,9.51 Earths,12.985,2018
K2-205 b,1322,4.64 Earths,12.45,2018
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-191 b,937,3.12 Earths,13.329,2018
K2-192 b,723,2.92 Earths,12.656,2018
K2-193 b,1344,14.8 Earths,13.341,2018
K2-194 b,2053,12.9 Earths,12.998,2018
K2-195 b,1028,9.96 Earths,12.524,2018
K2-195 c,1028,7.16 Earths,12.524,2018
K2-196 b,1908,12.6 Earths,12.241,2018
K2-197 b,808,7.08 Earths,12.199,2018
K2-198 b,361,16.3 Earths,10.971,2018
K2-198 c,361,2.61 Earths,10.971,2019
K2-198 d,361,6.52 Earths,10.971,2019
K2-199 b,351,6.9 Earths,12.358,2018
K2-199 c,351,12.4 Earths,12.358,2018
K2-19 b,945,32.4 Earths,13.024,2015
K2-19 c,945,10.8 Earths,13.024,2015
K2-19 d,945,10 Earths,13.024,2016
K2-200 b,601,2.43 Earths,12.428,2018
K2-201 b,646,2.54 Earths,12.168,2018
K2-201 c,646,10.8 Earths,12.168,2018
K2-202 b,980,5.91 Earths,13.354,2018
K2-203 b,542,2.45 Earths,12.391,2018
K2-204 b,1883,9.51 Earths,12.985,2018
K2-205 b,1322,4.64 Earths,12.45,2018
K2-225 b,1167,12 Earths,11.836,2018
K2-226 b,689,2.99 Earths,12.337,2018
K2-227 b,611,3.41 Earths,12.015,2018
K2-228 b,422,1.92 Earths,13.028,2018
K2-229 b,335,2.49 Earths,10.985,2018
K2-229 c,335,21.3 Earths,10.985,2018
K2-22 b,795,1.4 Jupiters,15.565,2015
K2-230 b,1764,4.5 Earths,12.789,2018
K2-231 b,1048,6.8 Earths,12.768,2018
K2-232 b,426,0.398 Jupiters,9.822,2018
K2-233 b,220,11.26 Earths,10.883,2018
K2-233 c,220,12.81 Earths,10.883,2018
K2-233 d,220,21.14 Earths,10.883,2018
K2-237 b,1028,1.363 Jupiters,11.602,2018
K2-238 b,1755,0.86 Jupiters,13.973,2018
K2-239 b,101,1.37 Earths,14.632,2018
K2-239 c,101,0.972 Earths,14.632,2018
K2-239 d,101,1.37 Earths,14.632,2018
K2-240 b,238,4.66 Earths,13.372,2018
K2-240 c,238,3.89 Earths,13.372,2018
K2-241 b,488,7.04 Earths,11.97,2018
K2-242 b,356,6.99 Earths,16.414,2018
K2-243 b,871,5.35 Earths,10.971,2018
K2-243 c,871,4.7 Earths,10.971,2018
K2-244 b,694,3.71 Earths,11.78,2018
K2-245 b,1488,17.4 Earths,12.755,2018
K2-246 b,2295,12 Earths,14.792,2018
K2-247 b,842,5.14 Earths,14.857,2018
K2-247 c,842,5.43 Earths,14.857,2018
K2-248 b,1325,7.13 Earths,13.497,2018
K2-249 b,1702,8.2 Earths,12.646,2018
K2-24 b,556,19 Earths,11.275,2016
K2-24 c,556,15.4 Earths,11.275,2016
K2-250 b,1353,6.53 Earths,14.314,2018
K2-251 b,480,6.12 Earths,15.66,2018
K2-252 b,746,3.68 Earths,12.93,2018
K2-253 b,2859,Unknown,15.002,2018
K2-254 b,743,3.29 Earths,14.238,2018
K2-254 c,743,5.43 Earths,14.238,2018
K2-255 b,625,8.75 Earths,13.662,2018
K2-256 b,1842,7.41 Earths,14.954,2018
K2-257 b,209,0.498 Earths,13.716,2018
K2-258 b,2159,9.27 Earths,13.361,2018
K2-259 b,1358,5.99 Earths,12.511,2018
K2-25 b,147,24.5 Earths,16.21,2015
K2-260 b,2165,1.42 Jupiters,12.624,2018
K2-261 b,696,0.188 Jupiters,10.612,2018
K2-263 b,530,14.8 Earths,11.568,2018
K2-264 b,605,5.61 Earths,16.701,2018
K2-264 c,605,7.6 Earths,16.701,2018
K2-280 b,1277,37.1 Earths,12.524,2018
K2-281 b,1494,0.16 Jupiters,15.048,2018
K2-282 b,1619,6.8 Earths,14.21,2018
K2-283 b,1314,12.2 Earths,14.364,2018
K2-284 b,350,8.15 Earths,13.265,2018
K2-285 b,505,9.68 Earths,12.075,2018
K2-285 c,505,15.68 Earths,12.075,2018
K2-285 d,505,6.5 Earths,12.075,2018
K2-285 e,505,10.7 Earths,12.075,2018
K2-286 b,248,5.06 Earths,12.881,2018
K2-287 b,516,0.315 Jupiters,11.41,2018
K2-288 B b,214,4.27 Earths,13.868,2018
K2-289 b,895,0.192 Jupiters,14.81,2019
K2-28 b,205,5.99 Earths,16.526,2016
K2-290 b,890,10.9 Earths,11.114,2019
K2-290 c,890,0.774 Jupiters,11.114,2019
K2-291 b,294,6.49 Earths,10.014,2019
K2-292 b,373,24.5 Earths,9.885,2019
K2-293 b,1280,6.57 Earths,13.44,2019
K2-294 b,1217,3.39 Earths,12.649,2019
K2-295 b,759,0.335 Jupiters,13.8941,2018
K2-29 b,582,0.73 Jupiters,12.532,2016
K2-308 b,4288,0.222 Jupiters,15.072,2019
K2-30 b,1086,0.579 Jupiters,13.547,2016
K2-315 b,186,0.809 Earths,17.67,2020
K2-316 b,367,2.33 Earths,17.14,2020
K2-316 c,367,4.01 Earths,17.14,2020
K2-317 b,575,8.91 Earths,17.74,2020
K2-318 b,482,3.39 Earths,15.8,2020
K2-319 b,682,8.2 Earths,12.213,2020
K2-31 b,361,1.774 Jupiters,10.802,2016
K2-320 b,355,7.37 Earths,17.81,2020
K2-321 b,253,4.46 Earths,13.677,2020
K2-322 b,403,4.35 Earths,13.963,2020
K2-323 b,386,5.06 Earths,14.935,2020
K2-324 b,446,6.48 Earths,15.223,2020
K2-325 b,364,5.48 Earths,17.77,2020
K2-326 b,921,5.82 Earths,15.982,2020
K2-329 b,761,0.26 Jupiters,12.697,2020
K2-32 b,514,15 Earths,12.304,2016
K2-32 c,514,8.1 Earths,12.304,2016
K2-32 d,514,6.7 Earths,12.304,2016
K2-32 e,514,2.1 Earths,12.304,2019
K2-330 b,522,8.1 Earths,9.608,2016
K2-331 b,690,3.86 Earths,11.305,2021
K2-331 c,690,7.85 Earths,11.305,2018
K2-332 b,402,5.48 Earths,16.4791,2016
K2-333 b,1122,31.6 Earths,12.073,2018
K2-334 b,1213,27.2 Earths,11.842,2018
K2-335 b,1820,5.52 Earths,12.556,2016
K2-316 b,367,2.33 Earths,17.14,2020
K2-316 c,367,4.01 Earths,17.14,2020
K2-317 b,575,8.91 Earths,17.74,2020
K2-318 b,482,3.39 Earths,15.8,2020
K2-319 b,682,8.2 Earths,12.213,2020
K2-31 b,361,1.774 Jupiters,10.802,2016
K2-320 b,355,7.37 Earths,17.81,2020
K2-321 b,253,4.46 Earths,13.677,2020
K2-322 b,403,4.35 Earths,13.963,2020
K2-323 b,386,5.06 Earths,14.935,2020
K2-324 b,446,6.48 Earths,15.223,2020
K2-325 b,364,5.48 Earths,17.77,2020
K2-326 b,921,5.82 Earths,15.982,2020
K2-329 b,761,0.26 Jupiters,12.697,2020
K2-32 b,514,15 Earths,12.304,2016
K2-32 c,514,8.1 Earths,12.304,2016
K2-32 d,514,6.7 Earths,12.304,2016
K2-32 e,514,2.1 Earths,12.304,2019
K2-330 b,522,8.1 Earths,9.608,2016
K2-331 b,690,3.86 Earths,11.305,2021
K2-331 c,690,7.85 Earths,11.305,2018
K2-332 b,402,5.48 Earths,16.4791,2016
K2-333 b,1122,31.6 Earths,12.073,2018
K2-334 b,1213,27.2 Earths,11.842,2018
K2-335 b,1820,5.52 Earths,12.556,2016
K2-316 b,367,2.33 Earths,17.14,2020
K2-316 c,367,4.01 Earths,17.14,2020
K2-317 b,575,8.91 Earths,17.74,2020
K2-318 b,482,3.39 Earths,15.8,2020
K2-319 b,682,8.2 Earths,12.213,2020
K2-31 b,361,1.774 Jupiters,10.802,2016
K2-320 b,355,7.37 Earths,17.81,2020
K2-321 b,253,4.46 Earths,13.677,2020
K2-322 b,403,4.35 Earths,13.963,2020
K2-323 b,386,5.06 Earths,14.935,2020
K2-324 b,446,6.48 Earths,15.223,2020
K2-325 b,364,5.48 Earths,17.77,2020
K2-326 b,921,5.82 Earths,15.982,2020
K2-329 b,761,0.26 Jupiters,12.697,2020
K2-32 b,514,15 Earths,12.304,2016
K2-32 c,514,8.1 Earths,12.304,2016
K2-32 d,514,6.7 Earths,12.304,2016
K2-32 e,514,2.1 Earths,12.304,2019
K2-330 b,522,8.1 Earths,9.608,2016
K2-331 b,690,3.86 Earths,11.305,2021
K2-331 c,690,7.85 Earths,11.305,2018
K2-332 b,402,5.48 Earths,16.4791,2016
K2-333 b,1122,31.6 Earths,12.073,2018
K2-334 b,1213,27.2 Earths,11.842,2018
K2-335 b,1820,5.52 Earths,12.556,2016
K2-336 b,781,1.98 Earths,12.803,2016
K2-337 b,1375,7.37 Earths,12.385,2016
K2-338 b,512,1.08 Earths,13.322,2016
K2-339 b,1175,4.35 Earths,14.487,2019
K2-33 b,454,3.7 Jupiters,15.838,2016
K2-340 b,2408,11.2 Earths,14.428,2016
K2-341 b,1375,10.4 Earths,12.725,2018
K2-342 b,680,4.78 Earths,11.338,2018
K2-343 b,542,3.36 Earths,16.01,2019
K2-343 c,542,4.74 Earths,16.01,2018
K2-344 b,245,3.15 Earths,13.423,2018
K2-345 b,530,5.1 Earths,15.72,2016
K2-346 b,344,5.73 Earths,11.903,2016
K2-347 b,1045,6.39 Earths,15.15,2016
K2-348 b,658,10.7 Earths,12.572,2018
K2-348 c,658,7.61 Earths,12.572,2018
K2-349 b,1480,2.48 Earths,14.585,2016
K2-34 b,1137,1.698 Jupiters,11.447,2016
K2-350 b,1596,2.99 Earths,13.449,2021
K2-350 c,1596,7.95 Earths,13.449,2016
K2-351 b,2266,6.99 Earths,14.195,2016
K2-352 b,574,2.45 Earths,11.125,2021
K2-352 c,574,4.35 Earths,11.125,2018
K2-352 d,574,5.6 Earths,11.125,2018
K2-353 b,876,26.3 Earths,12.337,2021
K2-336 b,781,1.98 Earths,12.803,2016
K2-337 b,1375,7.37 Earths,12.385,2016
K2-338 b,512,1.08 Earths,13.322,2016
K2-339 b,1175,4.35 Earths,14.487,2019
K2-33 b,454,3.7 Jupiters,15.838,2016
K2-340 b,2408,11.2 Earths,14.428,2016
K2-341 b,1375,10.4 Earths,12.725,2018
K2-342 b,680,4.78 Earths,11.338,2018
K2-343 b,542,3.36 Earths,16.01,2019
K2-343 c,542,4.74 Earths,16.01,2018
K2-344 b,245,3.15 Earths,13.423,2018
K2-345 b,530,5.1 Earths,15.72,2016
K2-346 b,344,5.73 Earths,11.903,2016
K2-347 b,1045,6.39 Earths,15.15,2016
K2-348 b,658,10.7 Earths,12.572,2018
K2-348 c,658,7.61 Earths,12.572,2018
K2-349 b,1480,2.48 Earths,14.585,2016
K2-34 b,1137,1.698 Jupiters,11.447,2016
K2-350 b,1596,2.99 Earths,13.449,2021
K2-350 c,1596,7.95 Earths,13.449,2016
K2-351 b,2266,6.99 Earths,14.195,2016
K2-352 b,574,2.45 Earths,11.125,2021
K2-352 c,574,4.35 Earths,11.125,2018
K2-352 d,574,5.6 Earths,11.125,2018
K2-353 b,876,26.3 Earths,12.337,2021
K2-336 b,781,1.98 Earths,12.803,2016
K2-337 b,1375,7.37 Earths,12.385,2016
K2-338 b,512,1.08 Earths,13.322,2016
K2-339 b,1175,4.35 Earths,14.487,2019
K2-33 b,454,3.7 Jupiters,15.838,2016
K2-340 b,2408,11.2 Earths,14.428,2016
K2-341 b,1375,10.4 Earths,12.725,2018
K2-342 b,680,4.78 Earths,11.338,2018
K2-343 b,542,3.36 Earths,16.01,2019
K2-343 c,542,4.74 Earths,16.01,2018
K2-344 b,245,3.15 Earths,13.423,2018
K2-345 b,530,5.1 Earths,15.72,2016
K2-346 b,344,5.73 Earths,11.903,2016
K2-347 b,1045,6.39 Earths,15.15,2016
K2-348 b,658,10.7 Earths,12.572,2018
K2-348 c,658,7.61 Earths,12.572,2018
K2-349 b,1480,2.48 Earths,14.585,2016
K2-34 b,1137,1.698 Jupiters,11.447,2016
K2-350 b,1596,2.99 Earths,13.449,2021
K2-350 c,1596,7.95 Earths,13.449,2016
K2-351 b,2266,6.99 Earths,14.195,2016
K2-352 b,574,2.45 Earths,11.125,2021
K2-352 c,574,4.35 Earths,11.125,2018
K2-352 d,574,5.6 Earths,11.125,2018
K2-353 b,876,26.3 Earths,12.337,2021
K2-354 b,299,3.05 Earths,15.296,2016
K2-355 b,1633,5.69 Earths,13.707,2021
K2-356 b,1160,5.86 Earths,13.268,2021
K2-357 b,1689,13.4 Earths,13.748,2021
K2-358 b,1567,7.65 Earths,13.699,2021
K2-35 b,824,2.3 Earths,14.166,2016
K2-35 c,824,4.38 Earths,14.166,2016
K2-365 b,611,8.78 Earths,11.372,2022
K2-366 b,607,6.16 Earths,12.636,2022
K2-367 b,577,6.41 Earths,13.794,2022
K2-368 b,674,2.34 Earths,13.581,2022
K2-368 c,674,2.42 Earths,13.581,2022
K2-368 d,674,4.45 Earths,13.581,2022
K2-369 b,605,2.28 Earths,11.789,2022
K2-36 b,358,3.9 Earths,11.726,2016
K2-36 c,358,7.8 Earths,11.726,2016
K2-370 b,470,10.4 Earths,11.109,2022
K2-371 b,1444,Unknown,14.492,2022
K2-372 b,1513,8.98 Earths,13.589,2022
K2-373 b,749,4.9 Earths,10.47,2022
K2-374 b,1172,3.16 Earths,12.783,2022
K2-374 c,1172,5.53 Earths,12.783,2022
K2-375 b,2271,5.66 Earths,13.164,2022
K2-376 b,527,3.66 Earths,10.415,2022
K2-377 b,637,3.51 Earths,14.107,2022
K2-378 b,2244,8.65 Earths,16.029,2022
K2-379 b,594,5.4 Earths,13.265,2022
K2-37 b,587,3.22 Earths,12.573,2016
K2-37 c,587,8 Earths,12.573,2016
K2-37 d,587,7.9 Earths,12.573,2016
K2-380 b,813,7.89 Earths,11.688,2022
K2-381 b,475,1.26 Earths,12.883,2022
K2-381 c,475,4.66 Earths,12.883,2022
K2-381 d,475,3.5 Earths,12.883,2022
K2-382 b,908,4.95 Earths,12.977,2022
K2-383 b,665,3.07 Earths,12.689,2022
K2-384 b,270,1.26 Earths,16.12,2022
K2-384 c,270,1.82 Earths,16.12,2022
K2-384 d,270,2.52 Earths,16.12,2022
K2-384 e,270,2.37 Earths,16.12,2022
K2-384 f,270,5.57 Earths,16.12,2022
K2-385 b,1373,2.98 Earths,14.645,2022
K2-386 b,1399,5.99 Earths,13.241,2022
K2-387 b,869,0.133 Jupiters,16.147,2022
K2-388 b,948,13 Earths,12.861,2022
K2-389 b,846,5.41 Earths,11.827,2022
K2-389 c,846,4.82 Earths,11.827,2022
K2-38 b,629,19.0698 Earths,11.344,2016
K2-38 c,629,9.9 Earths,11.344,2016
K2-390 b,1488,19.6 Earths,13.611,2022
K2-378 b,2244,8.65 Earths,16.029,2022
K2-379 b,594,5.4 Earths,13.265,2022
K2-37 b,587,3.22 Earths,12.573,2016
K2-37 c,587,8 Earths,12.573,2016
K2-37 d,587,7.9 Earths,12.573,2016
K2-380 b,813,7.89 Earths,11.688,2022
K2-381 b,475,1.26 Earths,12.883,2022
K2-381 c,475,4.66 Earths,12.883,2022
K2-381 d,475,3.5 Earths,12.883,2022
K2-382 b,908,4.95 Earths,12.977,2022
K2-383 b,665,3.07 Earths,12.689,2022
K2-384 b,270,1.26 Earths,16.12,2022
K2-384 c,270,1.82 Earths,16.12,2022
K2-384 d,270,2.52 Earths,16.12,2022
K2-384 e,270,2.37 Earths,16.12,2022
K2-384 f,270,5.57 Earths,16.12,2022
K2-385 b,1373,2.98 Earths,14.645,2022
K2-386 b,1399,5.99 Earths,13.241,2022
K2-387 b,869,0.133 Jupiters,16.147,2022
K2-388 b,948,13 Earths,12.861,2022
K2-389 b,846,5.41 Earths,11.827,2022
K2-389 c,846,4.82 Earths,11.827,2022
K2-38 b,629,19.0698 Earths,11.344,2016
K2-38 c,629,9.9 Earths,11.344,2016
K2-390 b,1488,19.6 Earths,13.611,2022
K2-378 b,2244,8.65 Earths,16.029,2022
K2-379 b,594,5.4 Earths,13.265,2022
K2-37 b,587,3.22 Earths,12.573,2016
K2-37 c,587,8 Earths,12.573,2016
K2-37 d,587,7.9 Earths,12.573,2016
K2-380 b,813,7.89 Earths,11.688,2022
K2-381 b,475,1.26 Earths,12.883,2022
K2-381 c,475,4.66 Earths,12.883,2022
K2-381 d,475,3.5 Earths,12.883,2022
K2-382 b,908,4.95 Earths,12.977,2022
K2-383 b,665,3.07 Earths,12.689,2022
K2-384 b,270,1.26 Earths,16.12,2022
K2-384 c,270,1.82 Earths,16.12,2022
K2-384 d,270,2.52 Earths,16.12,2022
K2-384 e,270,2.37 Earths,16.12,2022
K2-384 f,270,5.57 Earths,16.12,2022
K2-385 b,1373,2.98 Earths,14.645,2022
K2-386 b,1399,5.99 Earths,13.241,2022
K2-387 b,869,0.133 Jupiters,16.147,2022
K2-388 b,948,13 Earths,12.861,2022
K2-389 b,846,5.41 Earths,11.827,2022
K2-389 c,846,4.82 Earths,11.827,2022
K2-38 b,629,19.0698 Earths,11.344,2016
K2-38 c,629,9.9 Earths,11.344,2016
K2-390 b,1488,19.6 Earths,13.611,2022
K2-391 b,1657,2.45 Earths,12.527,2022
K2-392 b,1328,4.08 Earths,12.922,2022
K2-393 b,867,6.13 Earths,11.84,2022
K2-394 b,320,3.51 Earths,12.768,2022
K2-395 b,935,7.26 Earths,15.131,2022
K2-395 c,935,11.4 Earths,15.131,2022
K2-396 b,897,3.12 Earths,13.32,2022
K2-396 c,897,9.93 Earths,13.32,2022
K2-397 b,650,6.42 Earths,11.865,2022
K2-398 b,1980,5.79 Earths,13.287,2022
K2-398 c,1980,22.8 Earths,13.287,2022
K2-399 b,1682,30.5 Earths,12.478,2022
K2-39 b,1003,28.6047 Earths,10.831,2016
K2-3 b,144,6.48 Earths,12.168,2015
K2-3 c,144,2.14 Earths,12.168,2015
K2-3 d,144,2.80007 Earths,12.168,2015
K2-400 b,203,1.67 Earths,15.108,2022
K2-401 b,655,5.74 Earths,14.014,2022
K2-402 b,1706,7.65 Earths,13.032,2022
K2-403 b,804,24.6 Earths,12.305,2022
K2-404 b,397,6.94 Earths,14.622,2022
K2-405 b,643,18.9 Earths,12.816,2022
K2-406 b,278,19.2 Earths,9.465,2022
K2-407 b,712,2.19 Earths,11.969,2022
K2-407 c,712,2.42 Earths,11.969,2022
K2-391 b,1657,2.45 Earths,12.527,2022
K2-392 b,1328,4.08 Earths,12.922,2022
K2-393 b,867,6.13 Earths,11.84,2022
K2-394 b,320,3.51 Earths,12.768,2022
K2-395 b,935,7.26 Earths,15.131,2022
K2-395 c,935,11.4 Earths,15.131,2022
K2-396 b,897,3.12 Earths,13.32,2022
K2-396 c,897,9.93 Earths,13.32,2022
K2-397 b,650,6.42 Earths,11.865,2022
K2-398 b,1980,5.79 Earths,13.287,2022
K2-398 c,1980,22.8 Earths,13.287,2022
K2-399 b,1682,30.5 Earths,12.478,2022
K2-39 b,1003,28.6047 Earths,10.831,2016
K2-3 b,144,6.48 Earths,12.168,2015
K2-3 c,144,2.14 Earths,12.168,2015
K2-3 d,144,2.80007 Earths,12.168,2015
